nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8480801,4867,Brady Tkachuk,OTT,L,3,Skater,0,15.8,5.267,10,0,997.0
8479316,4424,Luke Kunin,FLA,C,10,Skater,1,15.75,1.575,16,12,628.5
8477938,3603,Haydn Fleury,WPG,D,10,Skater,1,15.700000000000003,1.57,17,14,942.2
8476994,,Vincent Hinostroza,MIN,C,12,Skater,0,15.7,1.308,13,3,679.08
8483678,9688,Elias Pettersson,VAN,D,12,Skater,1,15.600000000000001,1.3,13,15,852.33
8481035,4924,Samuel Ersson,PHI,G,4,Goalie,1,15.5,3.875,0,0,0
8477369,4631,Carson Soucy,NYR,D,8,Skater,1,15.450000000000001,1.931,11,6,913.12
8484158,9265,Easton Cowan,TOR,R,8,Skater,1,15.45,1.931,10,3,765.62
8478038,3640,Devon Toews,COL,D,12,Skater,1,15.400000000000002,1.283,2,13,1404.0
8473986,,Alex Killorn,ANA,L,9,Skater,0,15.4,1.711,7,4,976.11
8476624,,Barclay Goodrow,SJS,C,11,Skater,0,15.4,1.4,16,10,680.81
8482964,8784,Arber Xhekaj,MTL,D,10,Skater,1,14.85,1.485,13,6,637.2
8485402,,Michael Misa,SJS,C,6,Skater,0,14.8,2.467,2,4,719.83
8482803,8532,Olen Zellweger,ANA,D,9,Skater,1,14.75,1.639,4,8,1149.66
8478499,3975,Adin Hill,VGK,G,5,Goalie,0,14.75,2.95,0,0,0
8478859,3794,Niko Mikkola,FLA,D,11,Skater,1,14.600000000000001,1.327,7,17,1123.72
8479996,,Cody Glass,NJD,C,6,Skater,0,14.45,2.408,3,2,753.5
8478454,3768,Noah Juulsen,PHI,D,10,Skater,1,14.399999999999999,1.44,18,8,801.8
8477970,3539,Vitek Vanecek,UTA,G,3,Goalie,1,14.25,4.75,0,0,0
8481532,,Alex Turcotte,LAK,C,12,Skater,0,14.200000000000001,1.183,3,4,551.0
8482482,8291,Adam Wilsby,NSH,D,11,Skater,1,14.15,1.286,4,7,1068.36
8483490,8941,Pavel Mintyukov,ANA,D,9,Skater,1,14.100000000000001,1.567,8,10,902.11
8476878,,Zemgus Girgensons,TBL,C,4,Skater,0,14.05,3.513,10,1,836.25
8477953,3473,Kasperi Kapanen,EDM,R,6,Skater,1,14.0,2.333,16,4,737.16
8485702,10334,Max Shabanov,NYI,R,6,Skater,1,14.0,2.333,5,0,703.0
8481481,,Blake Lizotte,PIT,C,12,Skater,0,13.950000000000001,1.163,11,7,855.16
8476967,2943,Brett Kulak,EDM,D,12,Skater,1,13.850000000000001,1.154,2,11,1123.58
8482148,8214,Hendrix Lapierre,WSH,C,10,Skater,1,13.750000000000002,1.375,11,2,652.0
8478452,3935,Caleb Jones,PIT,D,7,Skater,1,13.75,1.964,10,15,1030.28
8476891,2756,Matthew Grzelcyk,CHI,D,11,Skater,1,13.700000000000001,1.245,3,9,910.81
8477998,,Warren Foegele,LAK,L,10,Skater,0,13.65,1.365,12,1,802.3
8475191,,Reilly Smith,VGK,R,11,Skater,0,13.5,1.227,9,1,800.81
8477070,,Liam O'Brien,UTA,C,6,Skater,0,13.5,2.25,10,4,566.5
8484839,9719,Harrison Brunicke,PIT,D,7,Skater,1,13.350000000000001,1.907,3,13,969.85
8480068,4474,Ryan Poehling,ANA,C,9,Skater,1,13.3,1.478,3,3,642.66
8483395,9165,Arshdeep Bains,VAN,L,12,Skater,1,13.250000000000002,1.104,11,2,594.66
8480878,4852,Nils Lundkvist,DAL,D,4,Skater,1,13.100000000000001,3.275,3,5,959.75
8484386,9286,Dmitri Simashev,UTA,D,11,Skater,1,12.95,1.177,2,13,932.45
8481024,,Linus Karlsson,VAN,C,9,Skater,0,12.750000000000002,1.417,12,2,594.55
8480426,,Charle-Edouard D'Astous,TBL,D,4,Skater,0,12.75,3.188,5,4,879.25
8481525,7925,Matthew Robertson,NYR,D,7,Skater,1,12.700000000000001,1.814,9,7,1028.71
8474037,,James van Riemsdyk,DET,L,8,Skater,0,12.600000000000001,1.575,0,7,688.37
8483447,,Conor Geekie,TBL,C,6,Skater,0,12.55,2.092,15,5,601.5
8476925,2892,Colton Sissons,VGK,C,9,Skater,1,12.5,1.389,11,5,665.77
8484800,9921,Berkly Catton,SEA,C,5,Skater,1,12.25,2.45,1,4,832.8
8481719,,Max Crozier,TBL,D,4,Skater,0,12.100000000000001,3.025,6,2,786.75
8479292,4028,Charlie Lindgren,WSH,G,3,Goalie,1,12.0,4.0,0,0,0
8484241,9275,Matthew Wood,NSH,R,5,Skater,1,11.65,2.33,5,1,759.8
8481593,9614,Jayden Struble,MTL,D,7,Skater,1,11.6,1.657,9,4,902.28
8480887,4940,Jordan Harris,BOS,D,5,Skater,1,11.55,2.31,4,3,937.8
8482445,8793,Devin Cooley,CGY,G,3,Goalie,1,11.5,3.833,0,0,0
8482470,8399,Ilya Solovyov,COL,D,8,Skater,1,11.450000000000001,1.431,10,12,711.75
8484958,9689,Maxim Tsyplakov,NYI,R,8,Skater,1,11.45,1.431,13,0,563.25
8481725,8994,Elmer Soderblom,DET,L,6,Skater,1,11.400000000000002,1.9,13,2,612.0
8482177,,Marat Khusnutdinov,BOS,C,8,Skater,0,11.400000000000002,1.425,2,2,689.5
8482947,8605,Zakhar Bardakov,COL,C,7,Skater,1,11.350000000000001,1.621,7,2,364.42
8482661,8519,Jesper Wallstedt,MIN,G,3,Goalie,1,11.25,3.75,0,0,0
8482821,8888,Arvid Soderblom,CHI,G,3,Goalie,1,11.25,3.75,0,0,0
8482070,,Mitchell Chaffee,TBL,R,7,Skater,0,11.200000000000001,1.6,19,2,569.42
8481133,8382,Cole Reinhardt,VGK,L,5,Skater,1,11.15,2.23,11,0,606.6
8483450,8961,Ryan Greene,CHI,C,11,Skater,1,11.100000000000001,1.009,5,3,757.18
8484321,9256,Nikolas Matinpalo,OTT,D,7,Skater,1,10.950000000000001,1.564,10,7,880.42
8483525,8937,Danila Yurov,MIN,R,10,Skater,1,10.95,1.095,8,5,582.4
8477365,4690,Connor Clifton,PIT,D,3,Skater,1,10.9,3.633,16,9,1053.66
8475181,,Nick Leddy,SJS,D,7,Skater,0,10.85,1.55,2,10,1031.85
8482751,,Ryan Winterton,SEA,C,10,Skater,0,10.75,1.075,10,3,766.8
8475717,1961,Calvin Pickard,EDM,G,4,Goalie,1,10.75,2.688,0,0,0
