nhl_id,name,pos,team
8476463,Jonas Brodin,D,MIN
8484798,Zeev Buium,D,MIN
8482122,Brock Faber,D,MIN
8483460,David Jiricek,D,MIN
8478136,Jake Middleton,D,MIN
8474716,Jared Spurgeon,D,MIN
8479406,Filip Gustavsson,G,MIN
8477361,Cal Petersen,G,MIN
8482661,Jesper Wallstedt,G,MIN
8475760,Nick Bjugstad,C,STL
8477402,Pavel Buchnevich,L,STL
8484164,Dalibor Dvorsky,R,STL
8482077,Dylan Holloway,L,STL
8478472,Mathieu Joseph,R,STL
8483463,Aleksanteri Kaskimaki,C,STL
8479385,Jordan Kyrou,R,STL
8482089,Jake Neighbours,L,STL
8475170,Brayden Schenn,C,STL
8483516,Jimmy Snuggerud,R,STL
8484230,Otto Stenberg,C,STL
8476897,Oskar Sundqvist,C,STL
8480459,Pius Suter,C,STL
8480074,Alexandre Texier,L,STL
8480023,Robert Thomas,C,STL
8480281,Alexey Toropchenko,R,STL
8477573,Nathan Walker,L,STL
8481598,Philip Broberg,D,STL
8475753,Justin Faulk,D,STL
8475764,Cam Fowler,D,STL
8482516,Matthew Kessel,D,STL
8484188,Theo Lindstein,D,STL
8482478,Leo Loof,D,STL
8482733,Logan Mailloux,D,STL
8476892,Colton Parayko,D,STL
8481715,Hunter Skinner,D,STL
8481006,Tyler Tucker,D,STL
8476412,Jordan Binnington,G,STL
8481551,Colten Ellis,G,STL
8480981,Joel Hofer,G,STL
8474150,Mikael Backlund,C,CGY
8476399,Blake Coleman,L,CGY
8482679,Matt Coronato,R,CGY
8480797,Joel Farabee,L,CGY
8480028,Morgan Frost,C,CGY
8484860,Matvei Gridin,R,CGY
8476456,Jonathan Huberdeau,L,CGY
8475172,Nazem Kadri,C,CGY
8482209,Rory Kerins,C,CGY
8477993,Justin Kirkland,C,CGY
8483609,Adam Klapka,R,CGY
8479066,Ryan Lomberg,L,CGY
8481028,Martin Pospisil,C,CGY
8481068,Yegor Sharangovich,C,CGY
8484234,Aydar Suniev,L,CGY
8482074,Connor Zary,C,CGY
8478397,Rasmus Andersson,D,CGY
8480860,Kevin Bahl,D,CGY
8479402,Jake Bean,D,CGY
8477810,Joel Hanley,D,CGY
8482624,Daniil Miromanov,D,CGY
8481167,Brayden Pachal,D,CGY
8484768,Zayne Parekh,D,CGY
8482470,Ilya Solovyov,D,CGY
8477346,MacKenzie Weegar,D,CGY
8482445,Devin Cooley,G,CGY
8481031,Ivan Prosvetov,G,CGY
8481692,Dustin Wolf,G,CGY
8482133,Thomas Bordeleau,C,NJD
8479407,Jesper Bratt,L,NJD
8477015,Connor Brown,R,NJD
8481032,Paul Cotter,L,NJD
8481065,Angus Crookshank,C,NJD
8474149,Evgenii Dadonov,L,NJD
8479996,Cody Glass,C,NJD
8481721,Arseny Gritsyuk,R,NJD
8480836,Jonathan Gruden,L,NJD
