nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8482730,,Brandt Clarke,LAK,D,12,Skater,0,38.0,3.167,5,23,1007.25
8478872,,Karel Vejmelka,UTA,G,8,Goalie,0,38.0,4.75,0,0,0
8475218,,Mattias Ekholm,EDM,D,12,Skater,0,37.95,3.163,9,27,1190.58
8474590,,John Carlson,WSH,D,10,Skater,0,37.9,3.79,6,14,1406.1
8476461,,Sean Couturier,PHI,C,10,Skater,0,37.9,3.79,9,9,1089.4
8479591,,Michael Eyssimont,BOS,C,13,Skater,0,37.800000000000004,2.908,8,6,683.76
8478435,,Dan Vladar,PHI,G,6,Goalie,0,37.75,6.292,0,0,0
8476331,,Dylan DeMelo,WPG,D,11,Skater,0,37.7,3.427,10,24,1326.45
8477986,,Brandon Montour,SEA,D,6,Skater,0,37.6,6.267,10,14,1401.5
8478449,,Roope Hintz,DAL,C,8,Skater,0,37.5,4.688,4,5,1141.37
8480355,,Mark Kastelic,BOS,C,13,Skater,0,37.5,2.885,25,18,734.53
8475169,,Evander Kane,VAN,L,12,Skater,0,37.45,3.121,28,8,1043.75
8482100,,Alexander Nikishin,CAR,D,10,Skater,0,37.45,3.745,28,16,1157.6
8482737,,Zachary Bolduc,MTL,R,11,Skater,0,37.4,3.4,14,4,800.18
8476882,,Teuvo Teravainen,CHI,C,11,Skater,0,37.199999999999996,3.382,7,6,1117.0
8479425,,Filip Hronek,VAN,D,12,Skater,0,37.1,3.092,24,18,1486.75
8481553,,Bobby Brink,PHI,R,10,Skater,0,37.0,3.7,13,4,1005.7
8475683,,Sergei Bobrovsky,FLA,G,8,Goalie,0,37.0,4.625,0,0,0
8479345,,Jakob Chychrun,WSH,D,10,Skater,0,36.95,3.695,13,8,1402.3
8478439,,Travis Konecny,PHI,R,10,Skater,0,36.85,3.685,15,8,1118.5
8473512,,Claude Giroux,OTT,R,12,Skater,0,36.849999999999994,3.071,10,2,976.91
8475455,,Brenden Dillon,NJD,D,11,Skater,0,36.800000000000004,3.345,27,18,1100.63
8480865,,Noah Dobson,MTL,D,11,Skater,0,36.75,3.341,4,23,1355.18
8480220,,Noah Cates,PHI,L,10,Skater,0,36.7,3.67,8,8,1051.2
8479661,,Tanner Jeannot,BOS,L,13,Skater,0,36.65,2.819,25,13,797.76
8480459,,Pius Suter,STL,C,11,Skater,0,36.449999999999996,3.314,10,6,993.63
8482745,,Mason McTavish,ANA,C,9,Skater,0,36.449999999999996,4.05,16,7,1143.88
8471214,,Alex Ovechkin,WSH,L,10,Skater,0,36.4,3.64,20,0,1076.8
8479671,,Mathieu Olivier,CBJ,R,10,Skater,0,36.4,3.64,31,9,875.1
8482703,,Colton Dach,CHI,C,11,Skater,0,36.300000000000004,3.3,48,6,840.45
8475726,,Tyler Toffoli,SJS,C,11,Skater,0,36.3,3.3,10,7,1032.0
8476885,,Jacob Trouba,ANA,D,9,Skater,0,36.25,4.028,25,20,1262.88
8477346,,MacKenzie Weegar,CGY,D,12,Skater,0,36.150000000000006,3.013,28,18,1469.0
8478445,,Mathew Barzal,NYI,C,9,Skater,0,36.050000000000004,4.006,4,9,1269.11
8478508,,Yakov Trenin,MIN,C,12,Skater,0,36.05,3.004,60,6,781.5
8481542,,Moritz Seider,DET,D,11,Skater,0,36.0,3.273,22,16,1517.9
8474596,,Jake Allen,NJD,G,7,Goalie,0,36.0,5.143,0,0,0
